paper_key,key_type,title,abstract,year,authors,url,source,depth,clean_abstract,Topic_r1,Topic_r2,Topic_r3,Topic_final,arxiv_id,doi,is_ml
,,Locality-Sensitive Hashing-Based Efficient Point Transformer for Charged   Particle Reconstruction,"Charged particle track reconstruction is a foundational task in collider experiments and the main computational bottleneck in particle reconstruction. Graph neural networks (GNNs) have shown strong performance for this problem, but costly graph construction, irregular computations, and random memory access patterns substantially limit their throughput. The recently proposed Hashing-based Efficient Point Transformer (HEPT) offers a theoretically guaranteed near-linear complexity for large point cloud processing via locality-sensitive hashing (LSH) in attention computations; however, its evaluations have largely focused on embedding quality, and the object condensation pipeline on which HEPT relies requires a post-hoc clustering step (e.g., DBScan) that can dominate runtime. In this work, we make two contributions. First, we present a unified, fair evaluation of physics tracking performance for HEPT and a representative GNN-based pipeline under the same dataset and metrics. Second, we introduce HEPTv2 by extending HEPT with a lightweight decoder that eliminates the clustering stage and directly predicts track assignments. This modification preserves HEPT's regular, hardware-friendly computations while enabling ultra-fast end-to-end inference. On the TrackML dataset, optimized HEPTv2 achieves approximately 28 ms per event on an A100 while maintaining competitive tracking efficiency. These results position HEPTv2 as a practical, scalable alternative to GNN-based pipelines for fast tracking.",2025,"['Shitij Govil', 'Jack P. Rodgers', 'Yuan-Tang Chou', 'Siqi Miao', 'Amit Saha', 'Advaith Anand', 'Kilian Lieret', 'Gage DeZoort', 'Mia Liu', 'Javier Duarte', 'Pan Li', 'Shih-Chieh Hsu']",http://arxiv.org/abs/2510.07594v1,arxiv,,,,,,,2510.07594v1,,True
,,Neural Triangular Transport Maps: A New Approach Towards Sampling in   Lattice QCD,"Lattice field theories are fundamental testbeds for computational physics; yet, sampling their Boltzmann distributions remains challenging due to multimodality and long-range correlations. While normalizing flows offer a promising alternative, their application to large lattices is often constrained by prohibitive memory requirements and the challenge of maintaining sufficient model expressivity. We propose sparse triangular transport maps that explicitly exploit the conditional independence structure of the lattice graph under periodic boundary conditions using monotone rectified neural networks (MRNN). We introduce a comprehensive framework for triangular transport maps that navigates the fundamental trade-off between \emph{exact sparsity} (respecting marginal conditional independence in the target distribution) and \emph{approximate sparsity} (computational tractability without fill-ins). Restricting each triangular map component to a local past enables site-wise parallel evaluation and linear time complexity in lattice size $N$, while preserving the expressive, invertible structure. Using $\phi^4$ in two dimensions as a controlled setting, we analyze how node labelings (orderings) affect the sparsity and performance of triangular maps. We compare against Hybrid Monte Carlo (HMC) and established flow approaches (RealNVP).",2025,"['Andrey Bryutkin', 'Youssef Marzouk']",http://arxiv.org/abs/2510.13112v1,arxiv,,,,,,,2510.13112v1,,True
,,Classification and Birational Equivalence of Dimer Integrable Systems   for Reflexive Polygons,"Brane tilings are bipartite periodic graphs on the 2-torus and realize a large family of 4d N=1 supersymmetric gauge theories corresponding to toric Calabi-Yau 3-folds. We present a complete classification of dimer integrable systems corresponding to the 30 brane tilings whose toric Calabi-Yau 3-folds are given by the 16 reflexive polygons in 2 dimensions. For each dimer integrable system associated to a reflexive polygon, we present the Casimirs, the single Hamiltonian built from 1-loops, the spectral curve, and the Poisson commutation relations. We also identify all birational equivalences between dimer integrable systems in this classification by presenting the birational transformations that match the Casimirs and the Hamiltonians as well as the spectral curves and Poisson structures between equivalent dimer integrable systems. In total, we identify 16 pairs of birationally equivalent dimer integrable systems which combined with Seiberg duality between the corresponding brane tilings form 5 distinct equivalence classes. Echoing phenomena observed for brane brick models realizing a family of 2d (0,2) supersymmetric gauge theories corresponding to toric Calabi-Yau 4-folds, we illustrate that deformations of brane tilings, including mass deformations, correspond to the birational transformations we discover in this work, and leave invariant the number of generators of the mesonic moduli space as well as the corresponding U(1)R-refined Hilbert series.",2025,"['Minsung Kho', 'Norton Lee', 'Rak-Kyeong Seong']",http://arxiv.org/abs/2510.12290v1,arxiv,,,,,,,2510.12290v1,,False
,,Applying Normalizing Flows for spin correlations reconstruction in   associated top-quark pair and dark matter production,"We apply a unified machine-learning framework based on Normalizing Flows (NFs) for the event-by-event reconstruction of invisible momenta and the subsequent evaluation of spin-sensitive observables in top-quark pair and dark-matter (DM) associated production processes. Building on recent studies in single-top + DM topologies, we extend the research to $t\bar{t}$ + DM final states. Inputs to our networks combine low-level four-momenta and missing transverse energy with high-level kinematic and angular variables. We compare a baseline multilayer perceptron (MLP) regressor, an autoregressive flow, and the conditional $\nu$-Flows model -- trained to learn the full conditional density. In these final states all the models perform well and demonstrate high reconstruction quality in independent regions split by $m_{t\bar{t}}$ for validation purposes. We highlight the potential of this approach to be extended to three- and four-top-quark production.",2025,"['E. Abasov', 'L. Dudko', 'E. Iudin', 'A. Markina', 'P. Volkov', 'G. Vorotnikov', 'M. Perfilov', 'A. Zaborenko']",http://arxiv.org/abs/2510.11644v1,arxiv,,,,,,,2510.11644v1,,False
,,Optimised neural networks for online processing of ATLAS calorimeter   data on FPGAs,"A study of neural network architectures for the reconstruction of the energy deposited in the cells of the ATLAS liquid-argon calorimeters under high pile-up conditions expected at the HL-LHC is presented. These networks are designed to run on the FPGA-based readout hardware of the calorimeters under strict size and latency constraints. Several architectures, including Dense, Recurrent (RNN), and Convolutional (CNN) neural networks, are optimised using a Bayesian procedure that balances energy resolution against network size. The optimised Dense, CNN, and combined Dense+RNN architectures achieve a transverse energy resolution of approximately 80 MeV, outperforming both the optimal filtering (OF) method currently in use and RNNs of similar complexity. A detailed comparison across the full dynamic range shows that Dense, CNN, and Dense+RNN accurately reproduce the energy scale, while OF and RNNs underestimate the energy. Deep Evidential Regression is implemented within the Dense architecture to address the need for reliable per-event energy uncertainties. This approach provides predictive uncertainty estimates with minimal increase in network size. The predicted uncertainty is found to be consistent, on average, with the difference between the true deposited energy and the predicted energy.",2025,"['Georges Aad', 'Raphael Bertrand', 'Lauri Laatu', 'Emmanuel Monnier', 'Arno Straessner', 'Nairit Sur', 'Johann C. Voigt']",http://arxiv.org/abs/2510.11469v1,arxiv,,,,,,,2510.11469v1,,True
,,Improved Pixel-wise Calibration for Charge-Integrating Hybrid Pixel   Detectors with Performance Validation,"The M\""ONCH hybrid pixel detector, with a 25 \textmu m pixel pitch and fast charge-integrating readout, has demonstrated subpixel resolution capabilities for X-ray imaging and deep learning-based electron localization in electron microscopy. Fully exploiting this potential requires extensive calibration to ensure both linearity and uniformity of the pixel response, which is challenging for detectors with a large dynamic range. To overcome the limitations of conventional calibration methods, we developed an accurate and efficient correction method to achieve pixel-wise gain and nonlinearity calibration based on the backside pulsing technique. A three-dimensional lookup table was generated for all pixels across the full dynamic range, mapping the pixel response to a calibrated linear energy scale. Compared with conventional linear calibration, the proposed method yields negligible deviations between the calibrated and nominal energies for photons and electrons. The improvement in energy resolution ranges from 4% to 22% for 15-25 keV photons and from 16% to 23% for 60-200 keV electrons. Deep learning-based electron localization demonstrates a 4% improvement in spatial resolution when using the proposed calibration method. This approach further enables rapid diagnosis of the cause of bad pixels and estimation of bump-bonding yield.",2025,"['X. Xie', 'A. Bergamaschi', 'M. Brückner', 'M. Carulla', 'R. Dinapoli', 'S. Ebner', 'K. Ferjaoui', 'E. Fröjdh', 'V. Gautam', 'D. Greiffenberg', 'S. Hasanaj', 'J. Heymes', 'V. Hinger', 'M. Hürst', 'V. Kedych', 'T. King', 'S. Li', 'C. Lopez-Cuenca', 'A. Mazzoleni', 'D. Mezza', 'K. Moustakas', 'A. Mozzanica', 'J. Mulvey', 'M. Müller', 'K. A. Paton', 'C. Posada Soto', 'C. Ruder', 'B. Schmitt', 'P. Sieber', 'S. Silletta', 'D. Thattil', 'J. Zhang']",http://arxiv.org/abs/2510.11024v1,arxiv,,,,,,,2510.11024v1,,True
,,Topological Landscapes of the BSM Higgs Sector,"We explore the structure of the parameter space in the Singlet Scalar Dark Matter (SSDM) model and the Next-to-Two Higgs Doublet Model (N2HDM) with $\tan\beta = 5$ and $\tan\beta = 45$. Parameter points are classified as allowed or excluded based on compatibility with the Higgs observation constraints. Using a combined framework of Topological Data Analysis (TDA), Uniform Manifold Approximation and Projection (UMAP), and Linear Discriminant Analysis (LDA), we characterize the global geometry and topology of these high-dimensional landscapes. Our findings reveal that the SSDM and the N2HDM Type~I model exhibit finely tuned islands of collider viability. In the case of N2HDM Type~I, we also find that increasing $\tan\beta$ leads to greater topological fragmentation and higher Betti number persistence, indicating enhanced structural complexity. In contrast, the given choice of parameters excludes the entire N2HDM Type II parameter space based on current Higgs measurements. The topological properties serve as important quantitative descriptors for the phenomenological viability of the BSM frameworks. We leverage the above mentioned topological features to train machine learning models for faster characterization of the BSM Higgs sector into allowed and excluded parameter regions.",2025,['Jyotiranjan Beuria'],http://arxiv.org/abs/2510.10900v1,arxiv,,,,,,,2510.10900v1,,True
,,A family of three maximally symmetric boost-invariant flows in   relativistic hydrodynamics,"I discuss the constructions of boost-invariant dissipative conformal hydrodynamic flows by elaborating on the geometric procedure by Gubser and Yarom, which starts from a static, maximally symmetric flow on dS$_3\times\mathbb{R}$. Three foliations of dS$_3$ preserve three-dimensional non-Abelian isometry groups, namely, the flat ISO(2)-invariant, the spherical (closed) SO(3)-invariant, and the hyperbolic (open) SO(2,1)-invariant slicings. I show that the fluids that preserve these symmetries, after they have been Weyl transformed to flat spacetime, give rise to three physically distinct and boost-invariant solutions of the relativistic dissipative Navier-Stokes equations: the well-known and widely studied Bjorken and Gubser flows, and a seemingly thus far unexplored solution that arises from the hyperbolic slicing of dS$_3$. The new solution combines the radial expansion characteristic of the Gubser flow with the late-proper-time applicability of Bjorken's solution, and features a finite, radially bounded droplet whose expanding edge resembles a free-streaming shockwave.",2025,['Sašo Grozdanov'],http://arxiv.org/abs/2510.10769v1,arxiv,,,,,,,2510.10769v1,,False
,,Enhancing Phase Transition Calculations with Fitting and Neural Network,"The computation of bounce action in a phase transition involves solving partial differential equations, inherently introducing non-negligible numerical uncertainty. Deriving characteristic temperatures and properties of this transition necessitates both differentiation and integration of the action, thereby exacerbating the uncertainty. In this work, we fit the action curve as a function of temperature to mitigate the uncertainties inherent in the calculation of the phase transition parameters. We find that, after extracting a factor, the sixth-order polynomial yields an excellent fit for the action in the high temperature approximated potential. In a realistic model, the singlet extension of the Standard Model, this method performs satisfactorily across most of the parameter space after trimming the fitting data. This approach not only enhances the accuracy of phase transition calculations but also systematically reduces computation time and facilitates error estimation, particularly in models involving multiple scalar fields. Furthermore, we discussed the possible of using multiple neural networks to predict the action curve from model parameters.",2025,"['Ligong Bian', 'Hongxin Wang', 'Yang Xiao', 'Ji-Chong Yang', 'Jin Min Yang', 'Yang Zhang']",http://arxiv.org/abs/2510.10667v1,arxiv,,,,,,,2510.10667v1,,True
,,dN/dx Reconstruction with Deep Learning for High-Granularity TPCs,"Particle identification (PID) is essential for future particle physics experiments such as the Circular Electron-Positron Collider and the Future Circular Collider. A high-granularity Time Projection Chamber (TPC) not only provides precise tracking but also enables dN/dx measurements for PID. The dN/dx method estimates the number of primary ionization electrons, offering significant improvements in PID performance. However, accurate reconstruction remains a major challenge for this approach. In this paper, we introduce a deep learning model, the Graph Point Transformer (GraphPT), for dN/dx reconstruction. In our approach, TPC data are represented as point clouds. The network backbone adopts a U-Net architecture built upon graph neural networks, incorporating an attention mechanism for node aggregation specifically optimized for point cloud processing. The proposed GraphPT model surpasses the traditional truncated mean method in PID performance. In particular, the $K/\pi$ separation power improves by approximately 10% to 20% in the momentum interval from 5 to 20 GeV/c.",2025,"['Guang Zhao', 'Yue Chang', 'Jinxian Zhang', 'Linghui Wu', 'Huirong Qi', 'Xin She', 'Mingyi Dong', 'Shengsen Sun', 'Jianchun Wang', 'Yifang Wang', 'Chunxu Yu']",http://arxiv.org/abs/2510.10628v2,arxiv,,,,,,,2510.10628v2,,True
,,Integrability in Three-Dimensional Gravity: Eigenfunction-Forced KdV   Flows,"We uncover a direct connection between three-dimensional gravity with chiral boundary conditions and a class of forced integrable systems. Starting from the Chern-Simons formulation, we derive consistent boundary conditions on a non-compact spatial slice, leading to boundary dynamics described by the potential modified KdV hierarchy. The dynamics reduce to a forced KdV equation, where the forcing term is determined self-consistently by the eigenfunctions of the associated Schr\""{o}dinger operator. Using the inverse scattering transform, the reflectionless sector is solved via the Gelfand-Levitan-Marchenko method, while the radiative sector exhibits universal dispersive decay. This framework unifies AdS$_3$ boundary dynamics with integrable hierarchies and elucidates the roles of solitons and radiation in the dual conformal field theory.",2025,"['Hamed Adami', 'Anousheh Latifi']",http://arxiv.org/abs/2510.10519v1,arxiv,,,,,,,2510.10519v1,,False
,,Quantum Integration Networks for Efficient Monte Carlo in High-Energy   Physics,"Monte Carlo methods play a central role in particle physics, where they are indispensable for simulating scattering processes, modeling detector responses, and performing multi-dimensional integrals. However, traditional Monte Carlo methods often suffer from slow convergence and insufficient precision, particularly for functions with singular features such as rapidly varying regions or narrow peaks. Quantum circuits provide a promising alternative: compared to conventional neural networks, they can achieve rich expressivity with fewer parameters, and the parameter-shift rule provides an exact analytic form for circuit gradients, ensuring precise optimization. Motivated by these advantages, we investigate how sampling strategies and loss functions affect integration efficiency within the \textbf{Quantum Integration Network} (QuInt-Net). We compare adaptive and non-adaptive sampling approaches and examine the impact of different loss functions on accuracy and convergence. Furthermore, we explore three quantum circuit architectures for numerical integration: the data re-uploading model, the quantum signal processing protocol, and deterministic quantum computation with one qubit. The results provide new insights into optimizing QuInt-Nets for applications in high energy physics.",2025,"['Heechan Yi', 'Kayoung Ban', 'Myeonghun Park', 'Kyoungchul Kong']",http://arxiv.org/abs/2510.10501v1,arxiv,,,,,,,2510.10501v1,,True
,,New Evidence for Extragalactic Einstein Probe Transients associated with   Long Gamma-ray Bursts,"The origin of extragalactic fast X-ray transients (EFXTs) remains a fundamental open question in high-energy astrophysics. The Einstein Probe (EP) mission provides a transformative opportunity to investigate their nature. While mounting observations of EP-discovered EFXTs (EP-EFXTs) suggest a possible connection to long gamma-ray bursts (lGRBs), an in-depth comparative analysis between them remains lacking. Here, we present a comparative analysis of their cosmic formation histories, revealing that EP-EFXTs and lGRBs share a similar evolutionary trend-showing a marked decline at $z<1.0$ and a plateau beyond $1.0<z<5$-which clearly distinguishes them from short GRBs. This result is derived from a rigorously selected sample of EP-EFXTs, using Lynden-Bell's $c^{-}$ method to reconstruct, for the first time, the luminosity function and formation rate of EP-EFXTs without any assumptions. Our findings provide independent evidence that EP-EFXTs and lGRBs may originate from a common progenitor channel.",2025,"['Qin-Mei Li', 'Qi-Bin Sun', 'Sheng-Bang Qian', 'Fu-Xing Li']",http://arxiv.org/abs/2510.10267v1,arxiv,,,,,,,2510.10267v1,,False
,,Scaling properties of nuclear parton distributions in   short-range-correlation motivated two-component parametrization,"We provide some critical remarks on the recently proposed two-component parametrization of nuclear parton distribution functions, which was motivated by the apparent correlation between the nuclear modifications of structure functions and nucleon-nucleon short-range correlation phenomena. This parametrization, we show, is invariant under a rescaling transformation of the involved abundance coefficients, which means that the global normalization of these coefficients cannot be meaningfully determined in a fit, and only their ratios should be studied for finding evidence of short-range-correlation type behavior at parton level. As we show, however, the current constraints for the nuclear-mass dependence of these coefficients allow also for interpretations different from short-range correlations. Nevertheless, this two-component parametrization exhibits a similar scaling relation for DIS structure functions as demonstrated in earlier works, and, as we demonstrate, yields testable predictions for structure-function and hard-process cross-section ratios. We also note on the non-trivial isospin dependence of the short-range-correlation motivated parametrization, which under proton-neutron pair dominance assumption can lead to charge-symmetry-violation resembling terms.",2025,['Petja Paakkinen'],http://arxiv.org/abs/2510.00252v1,arxiv,,,,,,,2510.00252v1,,False
,,Real-time Anomaly Detection for Liquid Argon Time Projection Chambers,"We present a real-time anomaly detection framework for liquid argon time projection chambers (LArTPCs), targeting applications in particle physics experiments such as the Short Baseline Near Detector (SBND) or the future Deep Underground Neutrino Experiment (DUNE). These experiments employ detectors that generate and stream high-resolution but sparse images of neutrino and other particle interactions. Our approach utilizes anomaly detection with autoencoders, compressed through knowledge distillation (KD), to enable the detection of anomalous signals in the data through efficient inference on resource-constrained hardware. The framework is targeted for deployment on computing platforms equipped with field-programmable gate arrays (FPGAs), GPUs, or CPUs, allowing low-latency selection of relevant activity directly from the raw detector data stream. We demonstrate that our approach is suitable for the detection and localization of anomalously ""high-multiplicity"" activity, and outline promising applications for LArTPC online data filtering and triggering.",2025,"['Seokju Chung', 'Jack Cleeve', 'Akshay Malige', 'Georgia Karagiorgi', 'Lino Gerlach', 'Adrian A. Pol', 'Isobel Ojalvo']",http://arxiv.org/abs/2509.21817v1,arxiv,,,,,,,2509.21817v1,,True
,,"Flavour, Accidentally","We propose a new class of flavour models in which the spurion which breaks Standard Model flavour symmetries transforms in a non-minimal representation. Hierarchies in fermion masses, which arise from multiple insertions of this spurion, may be generated in a technically natural, accidental manner, from a handful of untuned $\mathcal{O}(1)$ elements in the UV. This relies explicitly on the non-Abelian nature of the symmetry, distinguishing it from standard Froggatt-Nielsen-like scenarios. The pattern of flavour violating operators at dimension-6 can radically differ from previously considered scenarios, and emphasises the need for a broad flavour programme across all generations.",2025,"['Hannah Banks', 'Graeme Crawford', 'Matthew McCullough', 'Dave Sutherland']",http://arxiv.org/abs/2510.03403v1,arxiv,,,,,,,2510.03403v1,,False
