paper_key,key_type,title,abstract,year,authors,url,source
0901.2427,arxiv,"Higgs production through gluon fusion: updated cross sections at the
  Tevatron and the LHC","We present updated predictions for the total cross section for Higgs boson
production by gluon--gluon fusion in hadron collisions. Our calculation
includes the most advanced theoretical information available at present for
this observable: soft-gluon resummation up to next-to-next-to-leading
logarithmic accuracy, the exact treatment of the bottom-quark contribution up
to next-to-leading order, and two-loop electroweak effects. We adopt the most
recent parametrization of parton distribution functions at
next-to-next-to-leading order, and we evaluate the corresponding uncertainties.
In comparison with our previous central predictions, at the Tevatron the
difference ranges from +9% for m_H=115 GeV to -9% for m_H=200 GeV. At the LHC
the cross section is instead significantly increased. The effect goes from +30%
for m_H=115 GeV to +9% for m_H=300 GeV, and is mostly due to the new parton
distribution functions. We also provide new predictions for the LHC at
sqrt{s}=10 TeV.",2009.0,"D. de Florian, M. Grazzini",https://arxiv.org/abs/0901.2427,arxiv
0902.3519,arxiv,Quark and gluon form factors to three loops,"We compute the form factors of the photon-quark-anti-quark vertex and the
effective vertex of a Higgs boson and two gluons to three-loop order within
massless perturbative Quantum Chromodynamics. These results provide building
blocks for many third-order cross sections. Furthermore, this is the first
calculation of complete three-loop vertex corrections.",2009.0,"P. A. Baikov, K. G. Chetyrkin, A. V. Smirnov, V. A. Smirnov, M. Steinhauser",https://arxiv.org/abs/0902.3519,arxiv
0903.2561,arxiv,"Two-loop soft anomalous dimensions and NNLL resummation for heavy quark
  production","I present results for two-loop soft anomalous dimensions for heavy quark
production which control soft-gluon resummation at
next-to-next-to-leading-logarithm (NNLL) accuracy. I derive an explicit
expression for the exact result and study it numerically for top quark
production via e+ e- -> t tbar, and I construct a surprisingly simple but very
accurate approximation. I show that the two-loop soft anomalous dimensions with
massive quarks display a simple proportionality relation to the one-loop result
only in the limit of vanishing quark mass. I also discuss the extension of the
calculation to single top and top pair production in hadron colliders.",2009.0,Nikolaos Kidonakis,https://arxiv.org/abs/0903.2561,arxiv
0903.3241,arxiv,The Massive Soft Anomalous Dimension Matrix at Two Loops,"We study two-loop anomalous dimension matrices in QCD and related gauge
theories for products of Wilson lines coupled at a point. We verify by an
analysis in Euclidean space that the contributions to these matrices from
diagrams that link three massive Wilson lines do not vanish in general. We
show, however, that for two-to-two processes the two-loop anomalous dimension
matrix is diagonal in the same color-exchange basis as the one-loop matrix for
arbitrary masses at absolute threshold and for scattering at ninety degrees in
the center of mass. This result is important for applications of threshold
resummation in heavy quark production.",2009.0,"Alexander Mitov, George Sterman, Ilmo Sung",https://arxiv.org/abs/0903.3241,arxiv
0904.1021,arxiv,Infrared singularities of QCD amplitudes with massive partons,"A formula for the two-loop infrared singularities of dimensionally
regularized QCD scattering amplitudes with an arbitrary number of massive and
massless legs is derived. The singularities are obtained from the solution of a
renormalization-group equation, and factorization constraints on the relevant
anomalous-dimension matrix are analyzed. The simplicity of the structure of the
matrix relevant for massless partons does not carry over to the case with
massive legs, where starting at two-loop order new color and momentum
structures arise, which are not of the color-dipole form. The resulting
two-loop three-parton correlations can be expressed in terms of two functions,
for which some general properties are derived. This explains observations
recently made by Mitov et al. in terms of symmetry arguments.",2009.0,"Thomas Becher, Matthias Neubert",https://arxiv.org/abs/0904.1021,arxiv
0907.1443,arxiv,"Soft radiation in heavy-particle pair production: all-order colour
  structure and two-loop anomalous dimension","We present a factorization formula for the production of pairs of heavy
coloured particles in hadronic collisions at the production threshold, which
forms the basis for the resummation of soft gluons and Coulomb gluons. We
construct a basis in colour space that diagonalizes the soft function appearing
in the factorization formula to all orders in perturbation theory. This extends
recent results on the structure of soft anomalous dimensions and allows us to
determine an analytic expression for the two-loop soft anomalous dimension at
threshold for all production processes of interest.",2009.0,"M. Beneke, P. Falgari, C. Schwinn",https://arxiv.org/abs/0907.1443,arxiv
0907.1790,arxiv,"Threshold Resummation for Top-Pair Hadroproduction to
  Next-to-Next-to-Leading Log","We derive the threshold-resummed total cross section for heavy quark
production in hadronic collisions accurate to next-to-next-to-leading
logarithm, employing recent advances on soft anomalous dimension matrices for
massive pair production in the relevant kinematic limit. We also derive the
relation between heavy quark threshold resummations for fixed pair kinematics
and the inclusive cross section. As a check of our results, we have verified
that they reproduce all poles of the color-averaged q\bar{q} -> t\bar{t}
amplitudes at two loops, noting that the latter are insensitive to the
color-antisymmetric terms of the soft anomalous dimension.",2009.0,"M. Czakon, A. Mitov, G. Sterman",https://arxiv.org/abs/0907.1790,arxiv
0907.2997,arxiv,"Top mass effects in Higgs production at next-to-next-to-leading order
  QCD: virtual corrections","Top quark mass suppressed terms are calculated for the virtual amplitude for
Higgs production in gluon fusion at three-loop level, i.e. O(\alpha_s^3). The
method of asymptotic expansions in its automated form is used to evaluate the
first three non-vanishing orders in terms of M_H^2/M_t^2, where the first order
corresponds to the known results of the effective Lagrangian approach.",2009.0,"Robert V. Harlander, Kemal J. Ozeren",https://arxiv.org/abs/0907.2997,arxiv
0907.4791,arxiv,Two-loop divergences of scattering amplitudes with massive partons,"We complete the study of two-loop infrared singularities of scattering
amplitudes with an arbitrary number of massive and massless partons in
non-abelian gauge theories. To this end, we calculate the universal functions
F_1 and f_2, which completely specify the structure of three-parton
correlations in the soft anomalous-dimension matrix, at two-loop order in
closed analytic form. Both functions are found to be suppressed like O(m^4/s^2)
in the limit of small parton masses, in accordance with mass factorization
theorems proposed in the literature. On the other hand, they are unsuppressed
and diverge logarithmically near the threshold for pair production of two heavy
particles. As an application, we calculate the two-loop anomalous-dimension
matrix for q q_bar --> t t_bar near threshold and show that it is not diagonal
in the s-channel singlet-octet basis.",2009.0,"Andrea Ferroglia, Matthias Neubert, Ben D. Pecjak, Li Lin Yang",https://arxiv.org/abs/0907.4791,arxiv
0909.2124,arxiv,"On non-singlet physical evolution kernels and large-x coefficient
  functions in perturbative QCD","We study the large-x behaviour of the physical evolution kernels for flavour
non-singlet observables in deep-inelastic scattering, where x is the Bjorken
variable, semi-inclusive e^+ e^- annihilation and Drell-Yan lepton-pair
production. Unlike the corresponding MSbar-scheme coefficient functions, all
these kernels show a single-logarithmic large-x enhancement at all orders in
1-x. We conjecture that this universal behaviour, established by
Feynman-diagram calculations up to the fourth order, holds at all orders in the
strong coupling constant alpha_s. The resulting predictions are presented for
the highest ln^n(1-x) contributions to the higher-order coefficient functions.
In Mellin-N space these predictions take the form of an exponentiation which,
however, appears to be less powerful than the well-known soft-gluon
exponentiation of the leading (1-x)^(-1) ln^n(1-x) terms. In particular in
deep-inelastic scattering the 1/N corrections are non-negligible for all
practically relevant N.",2009.0,"S. Moch, A. Vogt",https://arxiv.org/abs/0909.2124,arxiv
0909.3420,arxiv,"Finite top mass effects for hadronic Higgs production at
  next-to-next-to-leading order","The first four terms of an expansion in mH^2/mt^2 of the total inclusive
cross section for Higgs production in gluon fusion are evaluated through
next-to-next-to-leading order QCD. A reliable and precise approximation of the
full top mass dependence at NNLO is derived and compared to the frequently used
heavy-top limit. It is found that both results agree numerically to better than
0.5% in the Higgs mass range of 100-300 GeV. This validates the higher order
results for the inclusive Higgs cross section and justifies the heavy-top limit
as a powerful tool for Higgs phenomenology at the LHC and the Tevatron.",2009.0,"Robert V. Harlander, Kemal J. Ozeren",https://arxiv.org/abs/0909.3420,arxiv
0911.4662,arxiv,Finite top quark mass effects in NNLO Higgs boson production at LHC,"We present next-to-next-to-leading order corrections to the inclusive
production of the Higgs bosons at the CERN Large Hadron Collider (LHC)
including finite top quark mass effects. Expanding our analytic results for the
partonic cross section around the soft limit we find agreement with a very
recent publication by Harlander and Ozeren \cite{Harlander:2009mq}.",2009.0,"Alexey Pak, Mikhail Rogal, Matthias Steinhauser",https://arxiv.org/abs/0911.4662,arxiv
0912.2546,arxiv,Reduze - Feynman Integral Reduction in C++,"Reduze is a computer program for reducing Feynman Integrals to master
integrals employing a Laporta algorithm. The program is written in C++ and uses
classes provided by the GiNaC library to perform the simplifications of the
algebraic prefactors in the system of equations. Reduze offers the possibility
to run reductions in parallel.",2009.0,C. Studerus,https://arxiv.org/abs/0912.2546,arxiv
1001.3396,arxiv,Spin determination of single-produced resonances at hadron colliders,"We study the production of a single resonance at the LHC and its decay into a
pair of Z bosons. We demonstrate how full reconstruction of the final states
allows us to determine the spin and parity of the resonance and restricts its
coupling to vector gauge bosons. Full angular analysis is illustrated with the
simulation of the production and decay chain including all spin correlations
and the most general couplings of spin-zero, -one, and -two resonances to
Standard Model matter and gauge fields. We note implications for analysis of a
resonance decaying to other final states.",2010.0,"Yanyan Gao, Andrei V. Gritsan, Zijin Guo, Kirill Melnikov, Markus Schulze, Nhan V. Tran",https://arxiv.org/abs/1001.3396,arxiv
1004.3653,arxiv,Calculation of the quark and gluon form factors to three loops in QCD,"We describe the calculation of the three-loop QCD corrections to quark and
gluon form factors. The relevant three-loop Feynman diagrams are evaluated and
the resulting three-loop Feynman integrals are reduced to a small set of known
master integrals by using integration-by-parts relations. Our calculation
confirms the recent results by Baikov et al.\ for the three-loop form factors.
In addition, we derive the subleading ${\cal O}(\epsilon)$ terms for the
fermion-loop type contributions to the three-loop form factors which are
required for the extraction of the fermionic contributions to the four-loop
quark and gluon collinear anomalous dimensions. The finite parts of the form
factors are used to determine the hard matching coefficients for the Drell-Yan
process and inclusive Higgs-production in soft-collinear effective theory.",2010.0,"T. Gehrmann, E. W. N. Glover, T. Huber, N. Ikizlerli, C. Studerus",https://arxiv.org/abs/1004.3653,arxiv
1005.5709,arxiv,Light MSSM Higgs boson mass to three-loop accuracy,"The light CP even Higgs boson mass, Mh, is calculated to three-loop accuracy
within the Minimal Supersymmetric Standard Model (MSSM). The result is
expressed in terms of DRbar parameters and implemented in the computer program
H3m. The calculation is based on the proper approximations and their
combination in various regions of the parameter space. The three-loop effects
to Mh are typically of the order of a few hundred MeV and opposite in sign to
the two-loop corrections. The remaining theory uncertainty due to higher order
perturbative corrections is estimated to be less than 1 GeV.",2010.0,"P. Kant, R. V. Harlander, L. Mihaila, M. Steinhauser",https://arxiv.org/abs/1005.5709,arxiv
1006.5918,arxiv,Threshold resummation for Drell-Yan production: theory and phenomenology,"We present a phenomenological study of Drell-Yan pair production at hadron
colliders based on the NNLO fixed order calculation and on NNLL resummation of
threshold logarithms. We give an argument to prove that resummation effects are
relevant also for values of x=M^2/s far from threshold. We compare different
prescriptions for the calculation of resummed quantities, emphasizing the
differences coming from subleading terms, which are important when x is small.
We present phenomenological predictions for Drell-Yan rapidity distributions at
the LHC, we study the ambiguity related to the resummation prescription, and we
compare it to that coming from scale variation.",2010.0,Marco Bonvini,https://arxiv.org/abs/1006.5918,arxiv
1007.5414,arxiv,"Threshold resummation for pair production of coloured heavy (s)particles
  at hadron colliders","We derive a factorization formula for the production of pairs of heavy
coloured particles in hadronic collisions near the production threshold that
establishes factorization of soft and Coulomb effects. This forms the basis for
a combined resummation of Coulomb and soft corrections, including the
non-trivial interference of the two effects. We develop a resummation formalism
valid at NNLL accuracy using the momentum-space approach to soft gluon
resummation. We present numerical results for the NLL resummed
squark-antisquark production cross section at the LHC and Tevatron, including
also the contribution of squark-antisquark bound states below threshold. The
total correction on top of the next-to-leading order approximation is found to
be sizeable, and amounts to (4-20)% in the squark mass region 200 GeV-3 TeV at
the 14 TeV LHC. The scale dependence of the total cross section is also
reduced.",2010.0,"Martin Beneke, Pietro Falgari, Christian Schwinn",https://arxiv.org/abs/1007.5414,arxiv
1009.4935,arxiv,"Next-to-next-to-leading soft-gluon corrections for the top quark cross
  section and transverse momentum distribution","I present results for top quark production in hadronic collisions at LHC and
Tevatron energies. The soft-gluon corrections to the differential cross section
are resummed at next-to-next-to-leading-logarithm (NNLL) accuracy via the
two-loop soft anomalous dimension matrices. Approximate
next-to-next-to-leading-order (NNLO) differential and total cross sections are
calculated. Detailed theoretical predictions are shown for the t tbar cross
section and the top quark p_T distribution at the Tevatron and the LHC.",2010.0,Nikolaos Kidonakis,https://arxiv.org/abs/1009.4935,arxiv
1010.1860,arxiv,"Next-to-eikonal corrections to soft gluon radiation: a diagrammatic
  approach","We consider the problem of soft gluon resummation for gauge theory amplitudes
and cross sections, at next-to-eikonal order, using a Feynman diagram approach.
At the amplitude level, we prove exponentiation for the set of factorizable
contributions, and construct effective Feynman rules which can be used to
compute next-to-eikonal emissions directly in the logarithm of the amplitude,
finding agreement with earlier results obtained using path-integral methods.
For cross sections, we also consider sub-eikonal corrections to the phase space
for multiple soft-gluon emissions, which contribute to next-to-eikonal
logarithms. To clarify the discussion, we examine a class of log(1 - x) terms
in the Drell-Yan cross-section up to two loops. Our results are the first steps
towards a systematic generalization of threshold resummations to
next-to-leading power in the threshold expansion.",2010.0,"Eric Laenen, Lorenzo Magnea, Gerben Stavenga, Chris D. White",https://arxiv.org/abs/1010.1860,arxiv
1011.5131,arxiv,Elements of QCD for hadron colliders,"The aim of these lectures is to provide (experimental particle physics Ph.D.)
students with an introduction to some of the core concepts and methods of QCD
that are relevant in an LHC context.",2010.0,Gavin P. Salam,https://arxiv.org/abs/1011.5131,arxiv
1012.2288,arxiv,"Jets and QCD: A Historical Review of the Discovery of the Quark and
  Gluon Jets and its Impact on QCD","The observation of quark and gluon jets has played a crucial role in
establishing Quantum Chromodynamics [QCD] as the theory of the strong
interactions within the Standard Model of particle physics. The jets, narrowly
collimated bundles of hadrons, reflect configurations of quarks and gluons at
short distances. Thus, by analysing energy and angular distributions of the
jets experimentally, the properties of the basic constituents of matter and the
strong forces acting between them can be explored. In this review, which is
primarily a description of the discovery of the quark and gluon jets and the
impact of their observation on Quantum Chromodynamics, we elaborate, in
particular, the role of the gluons as the carriers of the strong force.
Focusing on these basic points, jets in $e^+ e^-$ collisions will be in the
foreground of the discussion and we will concentrate on the theory that was
contemporary with the relevant experiments at the electron-positron colliders.
In addition we will delineate the role of jets as tools for exploring other
particle aspects in $ep$ and $pp/p\bar{p}$ collisions - quark and gluon
densities in protons, measurements of the QCD coupling, fundamental 2-2
quark/gluon scattering processes, but also the impact of jet decays of top
quarks, and $W^\pm, Z$ bosons on the electroweak sector. The presentation to a
large extent is formulated in a non-technical language with the intent to
recall the significant steps historically and convey the significance of this
field also to communities beyond high energy physics.",2010.0,"Ahmed Ali, Gustav Kramer",https://arxiv.org/abs/1012.2288,arxiv
1105.5167,arxiv,The top quark rapidity distribution and forward-backward asymmetry,"I present results for the top quark rapidity distribution at LHC and Tevatron
energies, including higher-order corrections from threshold resummation. The
next-to-next-to-leading-order (NNLO) soft-gluon corrections at
next-to-next-to-leading-logarithm (NNLL) level are added to the NLO result.
Theoretical predictions are shown for the rapidity distribution, including the
scale dependence of the distributions. The forward-backward asymmetry at the
Tevatron is also calculated.",2011.0,Nikolaos Kidonakis,https://arxiv.org/abs/1105.5167,arxiv
1112.3026,arxiv,Interpreting the LHC Higgs Search Results in the MSSM,"Recent results reported by the ATLAS and CMS experiments on the search for a
SM-like Higgs boson both show an excess for a Higgs mass near 125 GeV, which is
mainly driven by the \gamma\gamma\ and ZZ^* decay channels, but also receives
some support from channels with a lower mass resolution. We discuss the
implications of this possible signal within the context of the minimal
supersymmetric Standard Model (MSSM), taking into account previous limits from
Higgs searches at LEP, the Tevatron and the LHC. The consequences for the
remaining MSSM parameter space are investigated. Under the assumption of a
Higgs signal we derive new lower bounds on the tree-level parameters of the
MSSM Higgs sector. We also discuss briefly an alternative interpretation of the
excess in terms of the heavy CP-even Higgs boson, a scenario which is found to
be still viable.",2011.0,"S. Heinemeyer, O. Stål, G. Weiglein",https://arxiv.org/abs/1112.3026,arxiv
1112.5666,arxiv,"Phenomenology of light neutralinos in view of recent results at the CERN
  Large Hadron Collider","We review the status of the phenomenology of light neutralinos in an
effective Minimal Supersymmetric extension of the Standard Model (MSSM) at the
electroweak scale, in light of new results obtained at the CERN Large Hadron
Collider. First we consider the impact of the new data obtained by the CMS
Collaboration on the search for the Higgs boson decay into a tau pair, and by
the CMS and LHCb Collaborations on the branching ratio for the decay $B_s
\rightarrow {\mu}^{+} + {\mu}^{-}$. Then we examine the possible implications
of the excess of events found by the ATLAS and CMS Collaborations in a search
for a SM--like Higgs boson around a mass of 126 GeV, with a most likely mass
region (95% CL) restricted to 115.5--131 GeV (global statistical significance
about 2.3 $\sigma$). From the first set of data we update the lower bound of
the neutralino mass to be about 18 GeV. From the second set of measurements we
derive that the excess around $m^{SM}_H$ = 126 GeV, which however needs a
confirmation by further runs at the LHC, would imply a neutralino in the mass
range 18 GeV $\lsim m_{\chi} \lsim$ 38 GeV, with neutralino--nucleon elastic
cross sections fitting well the results of the dark matter direct search
experiments DAMA/LIBRA and CRESST.",2011.0,"A. Bottino, N. Fornengo, S. Scopel",https://arxiv.org/abs/1112.5666,arxiv
1201.4330,arxiv,Reduze 2 - Distributed Feynman Integral Reduction,"Reduze is a computer program for reducing Feynman integrals to master
integrals employing a variant of Laporta's reduction algorithm. This article
describes version 2 of the program. New features include the distributed
reduction of single topologies on multiple processor cores. The parallel
reduction of different topologies is supported via a modular, load balancing
job system. Fast graph and matroid based algorithms allow for the
identification of equivalent topologies and integrals.",2012.0,"A. von Manteuffel, C. Studerus",https://arxiv.org/abs/1201.4330,arxiv
1204.5473,arxiv,The threshold region for Higgs production in gluon fusion,"We provide a quantitative determination of the effective partonic kinematics
for Higgs production in gluon fusion in terms of the collider energy at the
LHC. We use the result to assess, as a function of the Higgs mass, whether the
large top mass approximation is adequate and whether Sudakov resummation is
advantageous. We argue that our results hold to all perturbative orders. Based
on it, we conclude that the full inclusion of finite top mass corrections is
likely to be important for accurate phenomenology for a light Higgs with m_H ~
125 GeV at the LHC with sqrt{s} = 14 TeV.",2012.0,"Marco Bonvini, Stefano Forte, Giovanni Ridolfi",https://arxiv.org/abs/1204.5473,arxiv
1207.1096,arxiv,"Confronting the MSSM and the NMSSM with the Discovery of a Signal in the
  two Photon Channel at the LHC","We confront the discovery of a boson decaying to two photons}, as reported
recently by ATLAS and CMS, with the corresponding predictions in the Minimal
Supersymmetric Standard Model (MSSM) and the Next-to-Minimal Supersymmetric
Standard Model (NMSSM). We perform a scan over the relevant regions of
parameter space in both models and evaluate the MSSM and NMSSM predictions for
the dominant Higgs production channel and the photon photon decay channel.
Taking into account the experimental constraints from previous direct searches,
flavour physics, electroweak measurements as well as theoretical
considerations, we find that a Higgs signal in the two photon channel with a
rate equal to, or above, the SM prediction is viable over the full mass range
$123\gev \lsim M_H \lsim 127\gev$, both in the MSSM and the NMSSM. We find that
besides the interpretation of a possible signal at about $125\gev$ in terms of
the lightest $\cp$-even Higgs boson, both the MSSM and the NMSSM permit also a
viable interpretation where an observed state at about $125\gev$ would
correspond to the second-lightest $\cp$-even Higgs boson in the spectrum, which
would be accompanied by another light Higgs with suppressed couplings to $W$
and $Z$ bosons. We find that a significant enhancement of the $\ga\ga$ rate,
compatible with the signal strenghts observed by ATLAS and CMS, is possible in
both the MSSM and the NMSSM, and we analyse in detail different mechanisms in
the two models that can give rise to such an enhancement. We briefly discuss
also our predictions in the two models for the production and subsequent decay
into two photons of a $\cp$-odd Higgs boson.",2012.0,"R. Benbrik, M. Gomez Bock, S. Heinemeyer, O. Stal, G. Weiglein, L. Zeune",https://arxiv.org/abs/1207.1096,arxiv
